cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "5.21063+-4.42889*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "3.74246+-2.94574*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.789771"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "0.360899"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "3.37069+3.28302*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "1.08036+-0.0183593*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.46607+0.749467*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.16206+-0.170793*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.22826+0.246995*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.24151+-0.738185*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.26806+-0.88143*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.389364+1.57819*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "1.07108+0.195959*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.967188+0.371101*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.69532+-0.679292*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.48445+-0.413446*x"
