CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "4.3077+-3.75594*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.13073+-0.229891*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.54772+-5.02055*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.978457+1.9001*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "0.74147+0.106923*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "1.78584+-0.969252*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "2.92288+-2.12743*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "7.96578+-7.20562*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.732135"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -15, 0, "1.41452"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.323536"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.0849647+2.01077*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.19785+-0.724268*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-2.79253+6.23854*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.61976+-2.29551*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.370649+2.00476*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.760077+0.510281*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.17131+-1.21536*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.66012+6.73787*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.99847+-5.37416*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "0.748692+0.452448*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "6.46577+-5.74829*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-1.5808+2.78466*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.70722+-1.68598*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.83967+2.99935*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.73574+-2.6797*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.9417+-9.93606*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.870653"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -15, 0, "1.61839"
